,Step,Time,xj,yj,zj,Jx,Jy,Jz
0,0,0.0,0.0,0.001,0,0,0,0.0
1,1,0.1,0.0,0.001,0,0,0,-2.539261335585175e-19
2,2,0.2,0.0,0.001,0,0,0,-5.1151049945221575e-19
3,3,0.3,0.0,0.001,0,0,0,-7.734752628935708e-19
4,4,0.4,0.0,0.001,0,0,0,-1.040255646498179e-18
5,5,0.5,0.0,0.001,0,0,0,-1.311929602430844e-18
6,6,0.6,0.0,0.001,0,0,0,-1.588938200677678e-18
7,7,0.7,0.0,0.001,0,0,0,-1.871723605590372e-18
8,8,0.7999999999999999,0.0,0.001,0,0,0,-2.160559866957598e-18
9,9,0.8999999999999999,0.0,0.001,0,0,0,-2.455898507866825e-18
10,10,1.0,0.0,0.001,0,0,0,-2.757882401351263e-18
11,11,1.1,0.0,0.001,0,0,0,-3.066511124098848e-18
12,12,1.2,0.0,0.001,0,0,0,-3.3795200703678663e-18
13,13,1.3,0.0,0.001,0,0,0,-3.6901375274155476e-18
14,14,1.4,0.0,0.001,0,0,0,-3.985625256552537e-18
15,15,1.5,0.0,0.001,0,0,0,-4.247155627882337e-18
16,16,1.6,0.0,0.001,0,0,0,-4.453147026462984e-18
17,17,1.7,0.0,0.001,0,0,0,-4.578823671726206e-18
18,18,1.8,0.0,0.001,0,0,0,-4.610474383238898e-18
19,19,1.900000000000001,0.0,0.001,0,0,0,-4.5314544177771195e-18
20,20,2.0,0.0,0.001,0,0,0,-4.3186613341862675e-18
21,21,2.100000000000001,0.0,0.001,0,0,0,-3.9732548682636815e-18
22,22,2.200000000000001,0.0,0.001,0,0,0,-3.506793653098723e-18
23,23,2.300000000000001,0.0,0.001,0,0,0,-2.906486432207475e-18
24,24,2.400000000000001,0.0,0.001,0,0,0,-2.145405613745618e-18
25,25,2.500000000000001,0.0,0.001,0,0,0,-1.224665126023073e-18
26,26,2.600000000000001,0.0,0.001,0,0,0,-1.814254688930318e-19
27,27,2.700000000000001,0.0,0.001,0,0,0,9.483802017728165e-19
28,28,2.800000000000001,0.0,0.001,0,0,0,2.114574074044599e-18
29,29,2.900000000000001,0.0,0.001,0,0,0,3.2606564920954122e-18
30,30,3.000000000000001,0.0,0.001,0,0,0,4.4139112317809334e-18
31,31,3.100000000000001,0.0,0.001,0,0,0,5.4904829105052564e-18
32,32,3.200000000000002,0.0,0.001,0,0,0,6.22088652360145e-18
33,33,3.300000000000002,0.0,0.001,0,0,0,6.62677618279535e-18
34,34,3.400000000000002,0.0,0.001,0,0,0,6.82854290268737e-18
35,35,3.500000000000002,0.0,0.001,0,0,0,6.5478213805568026e-18
36,36,3.600000000000002,0.0,0.001,0,0,0,5.2124443119962824e-18
37,37,3.700000000000002,0.0,0.001,0,0,0,2.989390355804095e-18
38,38,3.800000000000002,0.0,0.001,0,0,0,2.7164758725341564e-19
39,39,3.900000000000002,0.0,0.001,0,0,0,-2.7367629909597583e-18
40,40,4.000000000000002,0.0,0.001,0,0,0,-6.0852723208255394e-18
41,41,4.100000000000001,0.0,0.001,0,0,0,-1.0526105868852679e-17
42,42,4.200000000000001,0.0,0.001,0,0,0,-1.633031970468167e-17
43,43,4.300000000000001,0.0,0.001,0,0,0,-2.2793436193861327e-17
44,44,4.4,0.0,0.001,0,0,0,-2.802289835373048e-17
45,45,4.5,0.0,0.001,0,0,0,-3.0685638373843746e-17
46,46,4.6,0.0,0.001,0,0,0,-3.188346691189187e-17
47,47,4.699999999999999,0.0,0.001,0,0,0,-3.364693080083976e-17
48,48,4.799999999999999,0.0,0.001,0,0,0,-3.7439170940945035e-17
49,49,4.899999999999999,0.0,0.001,0,0,0,-3.944664694757495e-17
50,50,4.999999999999998,0.0,0.001,0,0,0,-3.565887416924547e-17
51,51,5.099999999999998,0.0,0.001,0,0,0,-2.906275353278931e-17
52,52,5.199999999999998,0.0,0.001,0,0,0,-2.469161415482041e-17
53,53,5.299999999999997,0.0,0.001,0,0,0,-2.449898475211999e-17
54,54,5.399999999999997,0.0,0.001,0,0,0,-2.658387930598949e-17
55,55,5.499999999999996,0.0,0.001,0,0,0,-2.931492819164511e-17
56,56,5.599999999999996,0.0,0.001,0,0,0,-3.205888324760235e-17
57,57,5.699999999999996,0.0,0.001,0,0,0,-3.459650026952088e-17
58,58,5.799999999999995,0.0,0.001,0,0,0,-3.6828065909556866e-17
59,59,5.899999999999995,0.0,0.001,0,0,0,-3.8684971325169556e-17
60,60,5.999999999999995,0.0,0.001,0,0,0,-4.01107913814937e-17
61,61,6.099999999999994,0.0,0.001,0,0,0,-4.1063994990235126e-17
62,62,6.199999999999994,0.0,0.001,0,0,0,-4.1527965092160755e-17
63,63,6.299999999999994,0.0,0.001,0,0,0,-4.152073341706088e-17
64,64,6.399999999999993,0.0,0.001,0,0,0,-4.1100068425436886e-17
65,65,6.499999999999993,0.0,0.001,0,0,0,-4.0363366052721587e-17
66,66,6.599999999999993,0.0,0.001,0,0,0,-3.9444064290150825e-17
67,67,6.699999999999992,0.0,0.001,0,0,0,-3.8505408972749085e-17
68,68,6.799999999999992,0.0,0.001,0,0,0,-3.772948066775042e-17
69,69,6.899999999999991,0.0,0.001,0,0,0,-3.729805036389457e-17
70,70,6.999999999999991,0.0,0.001,0,0,0,-3.7365618499674045e-17
71,71,7.099999999999991,0.0,0.001,0,0,0,-3.803282218147292e-17
72,72,7.19999999999999,0.0,0.001,0,0,0,-3.933256406507656e-17
73,73,7.29999999999999,0.0,0.001,0,0,0,-4.123533482749379e-17
