,Step,Time,xj,yj,zj,Jx,Jy,Jz
0,0,0.0,0.0,0.0025,0,0,0,0.0
1,1,0.1,0.0,0.0025,0,0,0,-1.4886833385501e-09
2,2,0.2,0.0,0.0025,0,0,0,-2.998684535592399e-09
3,3,0.3,0.0,0.0025,0,0,0,-4.534176882946827e-09
4,4,0.4,0.0,0.0025,0,0,0,-6.0976360286632144e-09
5,5,0.5,0.0,0.0025,0,0,0,-7.689416789300903e-09
6,6,0.6,0.0,0.0025,0,0,0,-9.311925999069613e-09
7,7,0.7,0.0,0.0025,0,0,0,-1.0967492974699951e-08
8,8,0.7999999999999999,0.0,0.0025,0,0,0,-1.2657350546168071e-08
9,9,0.8999999999999999,0.0,0.0025,0,0,0,-1.438366824775778e-08
10,10,1.0,0.0,0.0025,0,0,0,-1.614722966464115e-08
11,11,1.1,0.0,0.0025,0,0,0,-1.79514006462718e-08
12,12,1.2,0.0,0.0025,0,0,0,-1.9798705363945443e-08
13,13,1.3,0.0,0.0025,0,0,0,-2.169168390107226e-08
14,14,1.4,0.0,0.0025,0,0,0,-2.36349669219252e-08
15,15,1.5,0.0,0.0025,0,0,0,-2.5632188164454512e-08
16,16,1.6,0.0,0.0025,0,0,0,-2.7686362275370133e-08
17,17,1.7,0.0,0.0025,0,0,0,-2.9796246678785162e-08
18,18,1.8,0.0,0.0025,0,0,0,-3.1942823866447574e-08
19,19,1.900000000000001,0.0,0.0025,0,0,0,-3.4077641220099464e-08
20,20,2.0,0.0,0.0025,0,0,0,-3.6131882730128376e-08
21,21,2.100000000000001,0.0,0.0025,0,0,0,-3.801294050963881e-08
22,22,2.200000000000001,0.0,0.0025,0,0,0,-3.9510282870616745e-08
23,23,2.300000000000001,0.0,0.0025,0,0,0,-4.020194031750732e-08
24,24,2.400000000000001,0.0,0.0025,0,0,0,-3.964463701524975e-08
25,25,2.500000000000001,0.0,0.0025,0,0,0,-3.7745456165525555e-08
26,26,2.600000000000001,0.0,0.0025,0,0,0,-3.4760525285632765e-08
27,27,2.700000000000001,0.0,0.0025,0,0,0,-3.09802659484794e-08
28,28,2.800000000000001,0.0,0.0025,0,0,0,-2.6521100896537e-08
29,29,2.900000000000001,0.0,0.0025,0,0,0,-2.127764263219165e-08
30,30,3.000000000000001,0.0,0.0025,0,0,0,-1.5031686800603433e-08
31,31,3.100000000000001,0.0,0.0025,0,0,0,-7.665983452016297e-09
32,32,3.200000000000002,0.0,0.0025,0,0,0,7.494586853033555e-10
33,33,3.300000000000002,0.0,0.0025,0,0,0,1.002131823372567e-08
34,34,3.400000000000002,0.0,0.0025,0,0,0,1.994618255480617e-08
35,35,3.500000000000002,0.0,0.0025,0,0,0,3.040258861561577e-08
36,36,3.600000000000002,0.0,0.0025,0,0,0,4.1384029666895285e-08
37,37,3.700000000000002,0.0,0.0025,0,0,0,5.2890847857723364e-08
38,38,3.800000000000002,0.0,0.0025,0,0,0,6.485925078456366e-08
39,39,3.900000000000002,0.0,0.0025,0,0,0,7.714672762517785e-08
40,40,4.000000000000002,0.0,0.0025,0,0,0,8.92403044072846e-08
41,41,4.100000000000001,0.0,0.0025,0,0,0,1.005192792215956e-07
42,42,4.200000000000001,0.0,0.0025,0,0,0,1.115451770712767e-07
43,43,4.300000000000001,0.0,0.0025,0,0,0,1.229521282488601e-07
44,44,4.4,0.0,0.0025,0,0,0,1.347610446442601e-07
45,45,4.5,0.0,0.0025,0,0,0,1.464684233942311e-07
46,46,4.6,0.0,0.0025,0,0,0,1.545308013571499e-07
47,47,4.699999999999999,0.0,0.0025,0,0,0,1.435831124246289e-07
48,48,4.799999999999999,0.0,0.0025,0,0,0,9.637193331363125e-08
49,49,4.899999999999999,0.0,0.0025,0,0,0,1.7175564100071253e-08
50,50,4.999999999999998,0.0,0.0025,0,0,0,-8.231088572229069e-08
51,51,5.099999999999998,0.0,0.0025,0,0,0,-1.594740403897715e-07
52,52,5.199999999999998,0.0,0.0025,0,0,0,-2.140651116790653e-07
53,53,5.299999999999997,0.0,0.0025,0,0,0,-2.534431069237671e-07
54,54,5.399999999999997,0.0,0.0025,0,0,0,-2.8287037117964e-07
55,55,5.499999999999996,0.0,0.0025,0,0,0,-3.056243846471416e-07
56,56,5.599999999999996,0.0,0.0025,0,0,0,-3.237595617671808e-07
57,57,5.699999999999996,0.0,0.0025,0,0,0,-3.386023963306514e-07
58,58,5.799999999999995,0.0,0.0025,0,0,0,-3.510382336618318e-07
59,59,5.899999999999995,0.0,0.0025,0,0,0,-3.616749578926193e-07
