,Step,Time,xj,yj,zj,Jx,Jy,Jz
0,0,0.0,1e-05,0,0,0,0,0.0
1,1,0.1,1e-05,0,0,0,0,-5.6182512885322e-26
2,2,0.2,1e-05,0,0,0,0,-1.131851548799789e-25
3,3,0.3,1e-05,0,0,0,0,-1.7117162201700602e-25
4,4,0.4,1e-05,0,0,0,0,-2.302448389822409e-25
5,5,0.5,1e-05,0,0,0,0,-2.904307943906048e-25
6,6,0.6,1e-05,0,0,0,0,-3.5184396574271704e-25
7,7,0.7,1e-05,0,0,0,0,-4.146083983579022e-25
8,8,0.7999999999999999,1e-05,0,0,0,0,-4.787952826686762e-25
9,9,0.8999999999999999,1e-05,0,0,0,0,-5.4430506731725345e-25
10,10,1.0,1e-05,0,0,0,0,-6.100063648002934e-25
11,11,1.1,1e-05,0,0,0,0,-6.72426797411385e-25
12,12,1.2,1e-05,0,0,0,0,-7.246094318190035e-25
13,13,1.3,1e-05,0,0,0,0,-7.5706459624758415e-25
14,14,1.4,1e-05,0,0,0,0,-7.606970180161766e-25
15,15,1.5,1e-05,0,0,0,0,-7.280591477093615e-25
16,16,1.6,1e-05,0,0,0,0,-6.558913422576842e-25
17,17,1.7,1e-05,0,0,0,0,-5.423199131624095e-25
18,18,1.8,1e-05,0,0,0,0,-3.9021578305501707e-25
19,19,1.900000000000001,1e-05,0,0,0,0,-2.038133769950932e-25
20,20,2.0,1e-05,0,0,0,0,1.526669282218716e-26
21,21,2.100000000000001,1e-05,0,0,0,0,2.6217369796165e-25
22,22,2.200000000000001,1e-05,0,0,0,0,5.2784064295280355e-25
23,23,2.300000000000001,1e-05,0,0,0,0,8.033611464640936e-25
24,24,2.400000000000001,1e-05,0,0,0,0,1.073548689893464e-24
25,25,2.500000000000001,1e-05,0,0,0,0,1.32714612003684e-24
26,26,2.600000000000001,1e-05,0,0,0,0,1.5165797405855581e-24
27,27,2.700000000000001,1e-05,0,0,0,0,1.6285186734332841e-24
28,28,2.800000000000001,1e-05,0,0,0,0,1.62836948448934e-24
29,29,2.900000000000001,1e-05,0,0,0,0,1.419081330852931e-24
30,30,3.000000000000001,1e-05,0,0,0,0,1.03757798010382e-24
31,31,3.100000000000001,1e-05,0,0,0,0,4.86925950707941e-25
32,32,3.200000000000002,1e-05,0,0,0,0,-3.774245223867096e-25
33,33,3.300000000000002,1e-05,0,0,0,0,-1.5130774224493431e-24
34,34,3.400000000000002,1e-05,0,0,0,0,-2.717266270677126e-24
35,35,3.500000000000002,1e-05,0,0,0,0,-4.028642869360558e-24
36,36,3.600000000000002,1e-05,0,0,0,0,-5.55928917015873e-24
37,37,3.700000000000002,1e-05,0,0,0,0,-6.961752209814105e-24
38,38,3.800000000000002,1e-05,0,0,0,0,-8.152309523289964e-24
39,39,3.900000000000002,1e-05,0,0,0,0,-9.188913364643353e-24
40,40,4.000000000000002,1e-05,0,0,0,0,-9.501428137530216e-24
41,41,4.100000000000001,1e-05,0,0,0,0,-8.973998201555071e-24
42,42,4.200000000000001,1e-05,0,0,0,0,-8.247102004484589e-24
43,43,4.300000000000001,1e-05,0,0,0,0,-7.267358895158542e-24
44,44,4.4,1e-05,0,0,0,0,-5.710819469505815e-24
45,45,4.5,1e-05,0,0,0,0,-3.992975614826118e-24
46,46,4.6,1e-05,0,0,0,0,-1.7210204710428722e-24
47,47,4.699999999999999,1e-05,0,0,0,0,6.857176894480849e-25
48,48,4.799999999999999,1e-05,0,0,0,0,-1.5054824204591782e-24
49,49,4.899999999999999,1e-05,0,0,0,0,-7.228899685682621e-24
50,50,4.999999999999998,1e-05,0,0,0,0,-1.133381665245977e-23
51,51,5.099999999999998,1e-05,0,0,0,0,-1.410279929116463e-23
52,52,5.199999999999998,1e-05,0,0,0,0,-1.919774419414165e-23
53,53,5.299999999999997,1e-05,0,0,0,0,-2.807335355032079e-23
54,54,5.399999999999997,1e-05,0,0,0,0,-3.702303189935406e-23
55,55,5.499999999999996,1e-05,0,0,0,0,-4.411981020253582e-23
