,Step,Time,xb,yb,zb,Bx,By,Bz
119,119,11.89999999999997,1e-05,0.01,0,7.138751085454126e-07,-0.0900411429081634,0
120,120,11.99999999999997,1e-05,0.01,0,-0.0002280896976191,-0.0712315718994272,0
121,121,12.09999999999997,1e-05,0.01,0,-0.0004563904539833,-0.0522642530729672,0
122,122,12.19999999999997,1e-05,0.01,0,-0.0006841517200721,-0.0331381994755361,0
123,123,12.29999999999997,1e-05,0.01,0,-0.0009112964430797,-0.0138475770311115,0
124,124,12.39999999999997,1e-05,0.01,0,-0.0011378664048352,0.0055949618232957,0
125,125,12.49999999999997,1e-05,0.01,0,-0.0013637468513272,0.0252041464070583,0
126,126,12.59999999999997,1e-05,0.01,0,-0.0015888832627703,0.044971245842713,0
127,127,12.69999999999997,1e-05,0.01,0,-0.0018132891834559,0.0648988349571781,0
128,128,12.79999999999997,1e-05,0.01,0,-0.0020368820309783,0.0849872348630832,0
129,129,12.89999999999997,1e-05,0.01,0,-0.0022595761779992,0.1052388509744018,0
130,130,12.99999999999997,1e-05,0.01,0,-0.0024814392403417,0.1256510517200224,0
131,131,13.09999999999997,1e-05,0.01,0,-0.0027023402575139,0.146222097263886,0
132,132,13.19999999999997,1e-05,0.01,0,-0.0029222352502144,0.1669608233214411,0
133,133,13.29999999999997,1e-05,0.01,0,-0.0031411134738881,0.1878611305134921,0
134,134,13.39999999999997,1e-05,0.01,0,-0.0033589212608305,0.208919497780503,0
135,135,13.49999999999997,1e-05,0.01,0,-0.0035756277681268,0.23014647916906,0
136,136,13.59999999999997,1e-05,0.01,0,-0.0037911394243112,0.251533119430813,0
137,137,13.69999999999997,1e-05,0.01,0,-0.0040054748877264,0.2730828739186203,0
138,138,13.79999999999997,1e-05,0.01,0,-0.0042185206468323,0.2947968315389026,0
139,139,13.89999999999997,1e-05,0.01,0,-0.0044302895195017,0.3166742529179572,0
140,140,13.99999999999997,1e-05,0.01,0,-0.0046407442023723,0.3387156480687946,0
141,141,14.09999999999997,1e-05,0.01,0,-0.0048498081262276,0.3609168334481159,0
142,142,14.19999999999997,1e-05,0.01,0,-0.0050573328529551,0.3832898759836863,0
143,143,14.29999999999997,1e-05,0.01,0,-0.0052634621852626,0.4058222803943305,0
144,144,14.39999999999996,1e-05,0.01,0,-0.0054680380864789,0.4285195209271223,0
145,145,14.49999999999996,1e-05,0.01,0,-0.0056709803205563,0.4513854010253602,0
146,146,14.59999999999996,1e-05,0.01,0,-0.0058723632494652,0.474411439730841,0
147,147,14.69999999999996,1e-05,0.01,0,-0.0060720485606538,0.4976036996799322,0
148,148,14.79999999999996,1e-05,0.01,0,-0.0062700312452029,0.5209606459302056,0
149,149,14.89999999999996,1e-05,0.01,0,-0.0064661385865803,0.5444852681455392,0
150,150,14.99999999999996,1e-05,0.01,0,-0.006660479564454,0.568174389157256,0
151,0,0.0,5.160000000000001e-05,0.01,0,0.0,0.0,0
152,1,0.1,5.160000000000001e-05,0.01,0,-0.0002232736594246,0.0147856891973423,0
153,2,0.2,5.160000000000001e-05,0.01,0,-0.0004484584270227,0.0298593561058409,0
154,3,0.3,5.160000000000001e-05,0.01,0,-0.0006751849121124,0.0452447701721692,0
155,4,0.4,5.160000000000001e-05,0.01,0,-0.0009029564871789,0.0609348189957508,0
156,5,0.5,5.160000000000001e-05,0.01,0,-0.0011314947152582,0.0769249908967309,0
157,6,0.6,5.160000000000001e-05,0.01,0,-0.0013606282044758,0.0932118922881413,0
158,7,0.7,5.160000000000001e-05,0.01,0,-0.0015901908068951,0.1097943005689549,0
159,8,0.7999999999999999,5.160000000000001e-05,0.01,0,-0.0018199731829158,0.1266664875295122,0
160,9,0.8999999999999999,5.160000000000001e-05,0.01,0,-0.0020497973462341,0.1438274025741927,0
161,10,1.0,5.160000000000001e-05,0.01,0,-0.0022795169579853,0.1612801152299696,0
162,11,1.1,5.160000000000001e-05,0.01,0,-0.0025089676141903,0.1790186372930685,0
163,12,1.2,5.160000000000001e-05,0.01,0,-0.0027380090268267,0.1970417693783004,0
164,13,1.3,5.160000000000001e-05,0.01,0,-0.0029665382459955,0.2153502980332236,0
165,14,1.4,5.160000000000001e-05,0.01,0,-0.0031944183612923,0.2339420804769177,0
166,15,1.5,5.160000000000001e-05,0.01,0,-0.0034215219797836,0.2528180207348662,0
167,16,1.6,5.160000000000001e-05,0.01,0,-0.0036477132657245,0.2719772771851017,0
168,17,1.7,5.160000000000001e-05,0.01,0,-0.0038728612935037,0.2914176320267528,0
169,18,1.8,5.160000000000001e-05,0.01,0,-0.0040968277154641,0.3111416617882261,0
170,19,1.900000000000001,5.160000000000001e-05,0.01,0,-0.0043194945771809,0.3311468275908961,0
171,20,2.0,5.160000000000001e-05,0.01,0,-0.0045407155081857,0.3514362581338419,0
172,21,2.100000000000001,5.160000000000001e-05,0.01,0,-0.0047603647157342,0.372007528349551,0
173,22,2.200000000000001,5.160000000000001e-05,0.01,0,-0.0049783413663181,0.3928585873613616,0
174,23,2.300000000000001,5.160000000000001e-05,0.01,0,-0.0051944911779237,0.4139908565941373,0
175,24,2.400000000000001,5.160000000000001e-05,0.01,0,-0.0054086736024919,0.4354054327301973,0
176,25,2.500000000000001,5.160000000000001e-05,0.01,0,-0.005620796549868,0.4571012344138008,0
177,26,2.600000000000001,5.160000000000001e-05,0.01,0,-0.0058307297197081,0.4790738756146024,0
178,27,2.700000000000001,5.160000000000001e-05,0.01,0,-0.0060383397256791,0.5013270870887958,0
179,28,2.800000000000001,5.160000000000001e-05,0.01,0,-0.0062434800779197,0.5238594580688266,0
180,29,2.900000000000001,5.160000000000001e-05,0.01,0,-0.006446057958065,0.5466693359676718,0
181,30,3.000000000000001,5.160000000000001e-05,0.01,0,-0.006645943092305,0.5697553773094992,0
182,31,3.100000000000001,5.160000000000001e-05,0.01,0,-0.0064114755239528,0.5561027004207492,0
183,32,3.200000000000002,5.160000000000001e-05,0.01,0,-0.0061848817381702,0.5415520346236832,0
184,33,3.300000000000002,5.160000000000001e-05,0.01,0,-0.0059606712111478,0.5267136650420237,0
185,34,3.400000000000002,5.160000000000001e-05,0.01,0,-0.0057362529889457,0.5117363454845313,0
186,35,3.500000000000002,5.160000000000001e-05,0.01,0,-0.0055110036203978,0.4966440256576513,0
187,36,3.600000000000002,5.160000000000001e-05,0.01,0,-0.0052849026350673,0.4814336571763299,0
188,37,3.700000000000002,5.160000000000001e-05,0.01,0,-0.0050578399312722,0.4660874699074058,0
189,38,3.800000000000002,5.160000000000001e-05,0.01,0,-0.0048300787229354,0.4506248744882776,0
190,39,3.900000000000002,5.160000000000001e-05,0.01,0,-0.0046014471102493,0.4350115851028588,0
191,40,4.000000000000002,5.160000000000001e-05,0.01,0,-0.0043722157085988,0.4192679017480365,0
192,41,4.100000000000001,5.160000000000001e-05,0.01,0,-0.0041424607086487,0.4033753391517603,0
193,42,4.200000000000001,5.160000000000001e-05,0.01,0,-0.0039122258310656,0.3873259441995059,0
194,43,4.300000000000001,5.160000000000001e-05,0.01,0,-0.0036816948150459,0.3711348879949194,0
195,44,4.4,5.160000000000001e-05,0.01,0,-0.0034508610268109,0.3547908073815449,0
196,45,4.5,5.160000000000001e-05,0.01,0,-0.0032197885635311,0.3382940378846386,0
197,46,4.6,5.160000000000001e-05,0.01,0,-0.0029885597160828,0.3216462170086931,0
198,47,4.699999999999999,5.160000000000001e-05,0.01,0,-0.0027571837865302,0.3048422919470707,0
199,48,4.799999999999999,5.160000000000001e-05,0.01,0,-0.0025257456402396,0.2878827393891981,0
200,49,4.899999999999999,5.160000000000001e-05,0.01,0,-0.0022943110366334,0.2707757773457657,0
201,50,4.999999999999998,5.160000000000001e-05,0.01,0,-0.0020628895788278,0.2535041568822421,0
202,51,5.099999999999998,5.160000000000001e-05,0.01,0,-0.0018315891589247,0.2360832920401963,0
203,52,5.199999999999998,5.160000000000001e-05,0.01,0,-0.0016004367829794,0.2185067980607379,0
204,53,5.299999999999997,5.160000000000001e-05,0.01,0,-0.0013694760923977,0.2007718095091194,0
205,54,5.399999999999997,5.160000000000001e-05,0.01,0,-0.001138712475623,0.1828761615091598,0
206,55,5.499999999999996,5.160000000000001e-05,0.01,0,-0.0009082328180782,0.1648340951545645,0
207,56,5.599999999999996,5.160000000000001e-05,0.01,0,-0.0006780222362868,0.1466244243916706,0
208,57,5.699999999999996,5.160000000000001e-05,0.01,0,-0.0004481687562438,0.1282637235675076,0
209,58,5.799999999999995,5.160000000000001e-05,0.01,0,-0.0002186824982671,0.1097472509078699,0
210,59,5.899999999999995,5.160000000000001e-05,0.01,0,1.038906989974207e-05,0.0910686653331682,0
211,60,5.999999999999995,5.160000000000001e-05,0.01,0,0.0002390043518583,0.0722322010023845,0
212,61,6.099999999999994,5.160000000000001e-05,0.01,0,0.0004671199080028,0.0532405298192142,0
213,62,6.199999999999994,5.160000000000001e-05,0.01,0,0.0006947137000643,0.0340892680677184,0
214,63,6.299999999999994,5.160000000000001e-05,0.01,0,0.0009216718111058,0.0147729739176823,0
215,64,6.399999999999993,5.160000000000001e-05,0.01,0,0.0011480362025221,-0.004693979711336,0
216,65,6.499999999999993,5.160000000000001e-05,0.01,0,0.0013737025805322,-0.024329384536184,0
217,66,6.599999999999993,5.160000000000001e-05,0.01,0,0.0015986547725814,-0.0441202084857872,0
218,67,6.699999999999992,5.160000000000001e-05,0.01,0,0.0018228060991033,-0.0640756627405088,0
219,68,6.799999999999992,5.160000000000001e-05,0.01,0,0.0020461807418285,-0.0841894988075163,0
220,69,6.899999999999991,5.160000000000001e-05,0.01,0,0.0022686314394298,-0.1044682194571625,0
221,70,6.999999999999991,5.160000000000001e-05,0.01,0,0.002490254312544,-0.1249073503053967,0
222,71,7.099999999999991,5.160000000000001e-05,0.01,0,0.0027109051237193,-0.1455051444540459,0
223,72,7.19999999999999,5.160000000000001e-05,0.01,0,0.0029305282597012,-0.1662726071824102,0
224,73,7.29999999999999,5.160000000000001e-05,0.01,0,0.0031491681605282,-0.1871981838760271,0
225,74,7.39999999999999,5.160000000000001e-05,0.01,0,0.0033666958367598,-0.2082859879921451,0
226,75,7.499999999999989,5.160000000000001e-05,0.01,0,0.0035831355258731,-0.2295388968283682,0
227,76,7.599999999999989,5.160000000000001e-05,0.01,0,0.003798349495039,-0.2509537362362404,0
228,77,7.699999999999989,5.160000000000001e-05,0.01,0,0.004012411627374,-0.272530347817635,0
229,78,7.799999999999988,5.160000000000001e-05,0.01,0,0.0042251398151933,-0.2942723598494662,0
230,79,7.899999999999988,5.160000000000001e-05,0.01,0,0.0044366214890119,-0.3161784417541116,0
231,80,7.999999999999988,5.160000000000001e-05,0.01,0,0.0046467418479885,-0.3382482228406711,0
232,81,8.099999999999987,5.160000000000001e-05,0.01,0,0.0048554576313648,-0.3604796342521152,0
233,82,8.199999999999987,5.160000000000001e-05,0.01,0,0.0050626391095553,-0.3828823920851838,0
234,83,8.299999999999986,5.160000000000001e-05,0.01,0,0.0052684518008564,-0.4054418719439358,0
235,84,8.399999999999986,5.160000000000001e-05,0.01,0,0.005472640081854,-0.4281707447705421,0
236,85,8.499999999999986,5.160000000000001e-05,0.01,0,0.0056752522297341,-0.4510638272586292,0
237,86,8.599999999999985,5.160000000000001e-05,0.01,0,0.0058762553634444,-0.4741191798347901,0
238,87,8.699999999999985,5.160000000000001e-05,0.01,0,0.0060755561420188,-0.4973414948476566,0
239,88,8.799999999999985,5.160000000000001e-05,0.01,0,0.0062731234902264,-0.5207294229730671,0
240,89,8.899999999999984,5.160000000000001e-05,0.01,0,0.0064688193933045,-0.5442854446448759,0
241,90,8.999999999999984,5.160000000000001e-05,0.01,0,0.006662764541199,-0.5680042047230917,0
242,91,9.099999999999984,5.160000000000001e-05,0.01,0,0.0064258189315868,-0.5545334519178047,0
243,92,9.199999999999983,5.160000000000001e-05,0.01,0,0.0061980952880229,-0.5400548694618733,0
244,93,9.299999999999985,5.160000000000001e-05,0.01,0,0.0059734988580276,-0.5252415636267243,0
245,94,9.399999999999984,5.160000000000001e-05,0.01,0,0.0057490780487777,-0.5102711791534648,0
246,95,9.499999999999982,5.160000000000001e-05,0.01,0,0.005523868913417,-0.4951829058942939,0
247,96,9.599999999999982,5.160000000000001e-05,0.01,0,0.0052978365144001,-0.4799801388283585,0
248,97,9.699999999999982,5.160000000000001e-05,0.01,0,0.0050708299374631,-0.4646418054616261,0
249,98,9.79999999999998,5.160000000000001e-05,0.01,0,0.0048431168763303,-0.4491876990985261,0
250,99,9.89999999999998,5.160000000000001e-05,0.01,0,0.0046145317954731,-0.4335855521402751,0
251,100,9.99999999999998,5.160000000000001e-05,0.01,0,0.0043853217337948,-0.4178552979792846,0
252,101,10.09999999999998,5.160000000000001e-05,0.01,0,0.0041555541850129,-0.4019784976732209,0
253,102,10.19999999999998,5.160000000000001e-05,0.01,0,0.0039252861696108,-0.385945518926001,0
254,103,10.29999999999998,5.160000000000001e-05,0.01,0,0.0036947025947458,-0.3697700264608884,0
255,104,10.39999999999998,5.160000000000001e-05,0.01,0,0.0034638230744979,-0.353444229222095,0
256,105,10.49999999999998,5.160000000000001e-05,0.01,0,0.003232679679189,-0.3369632423344579,0
257,106,10.59999999999998,5.160000000000001e-05,0.01,0,0.0030013710981762,-0.320334088645334,0
258,107,10.69999999999998,5.160000000000001e-05,0.01,0,0.0027699099393112,-0.3035494573112464,0
259,108,10.79999999999998,5.160000000000001e-05,0.01,0,0.002538373299402,-0.2866110327157405,0
260,109,10.89999999999998,5.160000000000001e-05,0.01,0,0.0023068323298591,-0.2695248154995149,0
261,110,10.99999999999998,5.160000000000001e-05,0.01,0,0.0020752969767233,-0.2522742663015917,0
262,111,11.09999999999998,5.160000000000001e-05,0.01,0,0.001843876618826,-0.2348750348517411,0
263,112,11.19999999999998,5.160000000000001e-05,0.01,0,0.0016125890747672,-0.2173208071969353,0
264,113,11.29999999999998,5.160000000000001e-05,0.01,0,0.0013814903512827,-0.1996069950712898,0
265,114,11.39999999999998,5.160000000000001e-05,0.01,0,0.0011505824160502,-0.1817356302196355,0
266,115,11.49999999999998,5.160000000000001e-05,0.01,0,0.000919941630354,-0.1637143867982777,0
267,116,11.59999999999997,5.160000000000001e-05,0.01,0,0.0006895862890075,-0.1455287687616288,0
268,117,11.69999999999997,5.160000000000001e-05,0.01,0,0.000459573123107,-0.1271905250453905,0
269,118,11.79999999999997,5.160000000000001e-05,0.01,0,0.0002299359462091,-0.1086976617226984,0
270,119,11.89999999999997,5.160000000000001e-05,0.01,0,7.138751085454126e-07,-0.0900411429081634,0
271,120,11.99999999999997,5.160000000000001e-05,0.01,0,-0.0002280896976191,-0.0712315718994272,0
272,121,12.09999999999997,5.160000000000001e-05,0.01,0,-0.0004563904539833,-0.0522642530729672,0
273,122,12.19999999999997,5.160000000000001e-05,0.01,0,-0.0006841517200721,-0.0331381994755361,0
274,123,12.29999999999997,5.160000000000001e-05,0.01,0,-0.0009112964430797,-0.0138475770311115,0
275,124,12.39999999999997,5.160000000000001e-05,0.01,0,-0.0011378664048352,0.0055949618232957,0
276,125,12.49999999999997,5.160000000000001e-05,0.01,0,-0.0013637468513272,0.0252041464070583,0
277,126,12.59999999999997,5.160000000000001e-05,0.01,0,-0.0015888832627703,0.044971245842713,0
278,127,12.69999999999997,5.160000000000001e-05,0.01,0,-0.0018132891834559,0.0648988349571781,0
279,128,12.79999999999997,5.160000000000001e-05,0.01,0,-0.0020368820309783,0.0849872348630832,0
280,129,12.89999999999997,5.160000000000001e-05,0.01,0,-0.0022595761779992,0.1052388509744018,0
281,130,12.99999999999997,5.160000000000001e-05,0.01,0,-0.0024814392403417,0.1256510517200224,0
282,131,13.09999999999997,5.160000000000001e-05,0.01,0,-0.0027023402575139,0.146222097263886,0
283,132,13.19999999999997,5.160000000000001e-05,0.01,0,-0.0029222352502144,0.1669608233214411,0
284,133,13.29999999999997,5.160000000000001e-05,0.01,0,-0.0031411134738881,0.1878611305134921,0
285,134,13.39999999999997,5.160000000000001e-05,0.01,0,-0.0033589212608305,0.208919497780503,0
286,135,13.49999999999997,5.160000000000001e-05,0.01,0,-0.0035756277681268,0.23014647916906,0
287,136,13.59999999999997,5.160000000000001e-05,0.01,0,-0.0037911394243112,0.251533119430813,0
288,137,13.69999999999997,5.160000000000001e-05,0.01,0,-0.0040054748877264,0.2730828739186203,0
289,138,13.79999999999997,5.160000000000001e-05,0.01,0,-0.0042185206468323,0.2947968315389026,0
290,139,13.89999999999997,5.160000000000001e-05,0.01,0,-0.0044302895195017,0.3166742529179572,0
291,140,13.99999999999997,5.160000000000001e-05,0.01,0,-0.0046407442023723,0.3387156480687946,0
292,141,14.09999999999997,5.160000000000001e-05,0.01,0,-0.0048498081262276,0.3609168334481159,0
293,142,14.19999999999997,5.160000000000001e-05,0.01,0,-0.0050573328529551,0.3832898759836863,0
294,143,14.29999999999997,5.160000000000001e-05,0.01,0,-0.0052634621852626,0.4058222803943305,0
295,144,14.39999999999996,5.160000000000001e-05,0.01,0,-0.0054680380864789,0.4285195209271223,0
296,145,14.49999999999996,5.160000000000001e-05,0.01,0,-0.0056709803205563,0.4513854010253602,0
297,146,14.59999999999996,5.160000000000001e-05,0.01,0,-0.0058723632494652,0.474411439730841,0
298,147,14.69999999999996,5.160000000000001e-05,0.01,0,-0.0060720485606538,0.4976036996799322,0
299,148,14.79999999999996,5.160000000000001e-05,0.01,0,-0.0062700312452029,0.5209606459302056,0
300,149,14.89999999999996,5.160000000000001e-05,0.01,0,-0.0064661385865803,0.5444852681455392,0
